CITY_NAME,CITY_STATE,STAT_YEAR,CITY_GDP,CITY_RATING
Autauga,Alabama,2015,1518409,39
Autauga,Alabama,2016,1526310,4
Autauga,Alabama,2017,1422078,2
Autauga,Alabama,2018,1483414,6
Baldwin,Alabama,2015,5345363,32
Baldwin,Alabama,2016,5496105,19
Baldwin,Alabama,2017,5525882,42
Baldwin,Alabama,2018,5774289,70
Barbour,Alabama,2015,756590,54
Barbour,Alabama,2016,742810,18
Barbour,Alabama,2017,745625,1
Barbour,Alabama,2018,787425,49
Bibb,Alabama,2015,358372,95
Bibb,Alabama,2016,357831,51
Bibb,Alabama,2017,353859,20
Bibb,Alabama,2018,364197,4
Blount,Alabama,2015,824934,18
Blount,Alabama,2016,783480,93
Blount,Alabama,2017,813934,88
Blount,Alabama,2018,849114,18
Bullock,Alabama,2015,224849,79
Bullock,Alabama,2016,246072,58
Bullock,Alabama,2017,233531,18
Bullock,Alabama,2018,244183,11
Butler,Alabama,2015,570113,71
Butler,Alabama,2016,554471,92
Butler,Alabama,2017,554848,24
Butler,Alabama,2018,570686,56
Calhoun,Alabama,2015,3810823,95
Calhoun,Alabama,2016,3862408,14
Calhoun,Alabama,2017,3861148,67
Calhoun,Alabama,2018,3950436,93
Chambers,Alabama,2015,1793988,2
Chambers,Alabama,2016,1953597,30
Chambers,Alabama,2017,1938158,28
Chambers,Alabama,2018,1941217,98
Cherokee,Alabama,2015,484118,9
Cherokee,Alabama,2016,457675,35
Cherokee,Alabama,2017,461223,60
Cherokee,Alabama,2018,498013,1
Chilton,Alabama,2015,799902,23
Chilton,Alabama,2016,798726,36
Chilton,Alabama,2017,806179,48
Chilton,Alabama,2018,837887,2
Choctaw,Alabama,2015,531136,10
Choctaw,Alabama,2016,526604,60
Choctaw,Alabama,2017,505034,30
Choctaw,Alabama,2018,547773,44
Clarke,Alabama,2015,806072,79
Clarke,Alabama,2016,793755,11
Clarke,Alabama,2017,771341,49
Clarke,Alabama,2018,784519,20
Clay,Alabama,2015,320213,78
Clay,Alabama,2016,315873,27
Clay,Alabama,2017,323580,28
Clay,Alabama,2018,339246,93
Cleburne,Alabama,2015,304126,4
Cleburne,Alabama,2016,295526,24
Cleburne,Alabama,2017,284999,32
Cleburne,Alabama,2018,294019,6
Coffee,Alabama,2015,1349456,68
Coffee,Alabama,2016,1375548,84
Coffee,Alabama,2017,1410365,55
Coffee,Alabama,2018,1470262,55
Colbert,Alabama,2015,2814138,17
Colbert,Alabama,2016,2778239,9
Colbert,Alabama,2017,2708633,72
Colbert,Alabama,2018,2755838,100
Conecuh,Alabama,2015,466177,68
Conecuh,Alabama,2016,464317,17
Conecuh,Alabama,2017,456696,65
Conecuh,Alabama,2018,449646,58
Coosa,Alabama,2015,164838,43
Coosa,Alabama,2016,168598,21
Coosa,Alabama,2017,167226,22
Coosa,Alabama,2018,177103,35
Covington,Alabama,2015,1126948,7
Covington,Alabama,2016,1120631,30
Covington,Alabama,2017,1134066,29
Covington,Alabama,2018,1146899,35
Crenshaw,Alabama,2015,427983,61
Crenshaw,Alabama,2016,403588,77
Crenshaw,Alabama,2017,403510,32
Crenshaw,Alabama,2018,408219,58
Cullman,Alabama,2015,2479048,87
Cullman,Alabama,2016,2473561,20
Cullman,Alabama,2017,2491025,42
Cullman,Alabama,2018,2548547,93
Dale,Alabama,2015,2405727,83
Dale,Alabama,2016,2423899,69
Dale,Alabama,2017,2459148,59
Dale,Alabama,2018,2505314,56
Dallas,Alabama,2015,1186330,35
Dallas,Alabama,2016,1196803,40
Dallas,Alabama,2017,1156152,80
Dallas,Alabama,2018,1174931,42
DeKalb,Alabama,2015,1728455,36
DeKalb,Alabama,2016,1621227,86
DeKalb,Alabama,2017,1688189,35
DeKalb,Alabama,2018,1768414,81
Elmore,Alabama,2015,1614849,91
Elmore,Alabama,2016,1639742,26
Elmore,Alabama,2017,1653310,100
Elmore,Alabama,2018,1694188,74
Escambia,Alabama,2015,1152718,61
Escambia,Alabama,2016,1162771,69
Escambia,Alabama,2017,1163160,89
Escambia,Alabama,2018,1172006,72
Etowah,Alabama,2015,2741934,96
Etowah,Alabama,2016,2742949,74
Etowah,Alabama,2017,2746645,55
Etowah,Alabama,2018,2803470,99
Fayette,Alabama,2015,334480,56
Fayette,Alabama,2016,325660,1
Fayette,Alabama,2017,327225,31
Fayette,Alabama,2018,331837,99
Franklin,Alabama,2015,829741,14
Franklin,Alabama,2016,802754,2
Franklin,Alabama,2017,849068,81
Franklin,Alabama,2018,886031,58
Geneva,Alabama,2015,505054,67
Geneva,Alabama,2016,513876,50
Geneva,Alabama,2017,496140,8
Geneva,Alabama,2018,519624,47
Greene,Alabama,2015,255456,84
Greene,Alabama,2016,245437,84
Greene,Alabama,2017,225323,99
Greene,Alabama,2018,235854,81
Hale,Alabama,2015,280598,14
Hale,Alabama,2016,291003,92
Hale,Alabama,2017,285818,54
Hale,Alabama,2018,280041,91
Henry,Alabama,2015,312287,42
Henry,Alabama,2016,308340,6
Henry,Alabama,2017,320602,18
