County Name,GDP(2015),GDP(2016),GDP(2017),GDP(2018),rank_2018,percent_2016,percent_2017,percent_2018,change_rank2018,State
Autauga,"1,518,409","1,526,310","1,422,078","1,483,414",25,0.5,-6.8,4.3,15,Alabama
Baldwin,"5,345,363","5,496,105","5,525,882","5,774,289",8,2.8,0.5,4.5,12,Alabama
Barbour,"756,590","742,810","745,625","787,425",39,-1.8,0.4,5.6,6,Alabama
Bibb,"358,372","357,831","353,859","364,197",56,-0.2,-1.1,2.9,31,Alabama
Blount,"824,934","783,480","813,934","849,114",35,-5,3.9,4.3,14,Alabama
Bullock,"224,849","246,072","233,531","244,183",64,9.4,-5.1,4.6,11,Alabama
Butler,"570,113","554,471","554,848","570,686",44,-2.7,0.1,2.9,32,Alabama
Calhoun,"3,810,823","3,862,408","3,861,148","3,950,436",11,1.4,0,2.3,37,Alabama
Chambers,"1,793,988","1,953,597","1,938,158","1,941,217",21,8.9,-0.8,0.2,60,Alabama
Cherokee,"484,118","457,675","461,223","498,013",48,-5.5,0.8,8,3,Alabama
Chilton,"799,902","798,726","806,179","837,887",36,-0.1,0.9,3.9,20,Alabama
Choctaw,"531,136","526,604","505,034","547,773",46,-0.9,-4.1,8.5,2,Alabama
Clarke,"806,072","793,755","771,341","784,519",40,-1.5,-2.8,1.7,47,Alabama
Clay,"320,213","315,873","323,580","339,246",57,-1.4,2.4,4.8,7,Alabama
Cleburne,"304,126","295,526","284,999","294,019",62,-2.8,-3.6,3.2,25,Alabama
Coffee,"1,349,456","1,375,548","1,410,365","1,470,262",27,1.9,2.5,4.2,16,Alabama
Colbert,"2,814,138","2,778,239","2,708,633","2,755,838",16,-1.3,-2.5,1.7,46,Alabama
Conecuh,"466,177","464,317","456,696","449,646",49,-0.4,-1.6,-1.5,64,Alabama
Coosa,"164,838","168,598","167,226","177,103",67,2.3,-0.8,5.9,5,Alabama
Covington,"1,126,948","1,120,631","1,134,066","1,146,899",33,-0.6,1.2,1.1,56,Alabama
Crenshaw,"427,983","403,588","403,510","408,219",53,-5.7,0,1.2,55,Alabama
Cullman,"2,479,048","2,473,561","2,491,025","2,548,547",17,-0.2,0.7,2.3,38,Alabama
Dale,"2,405,727","2,423,899","2,459,148","2,505,314",18,0.8,1.5,1.9,45,Alabama
Dallas,"1,186,330","1,196,803","1,156,152","1,174,931",31,0.9,-3.4,1.6,48,Alabama
DeKalb,"1,728,455","1,621,227","1,688,189","1,768,414",22,-6.2,4.1,4.8,8,Alabama
Elmore,"1,614,849","1,639,742","1,653,310","1,694,188",24,1.5,0.8,2.5,36,Alabama
Escambia,"1,152,718","1,162,771","1,163,160","1,172,006",32,0.9,0,0.8,58,Alabama
Etowah,"2,741,934","2,742,949","2,746,645","2,803,470",15,0,0.1,2.1,43,Alabama
Fayette,"334,480","325,660","327,225","331,837",58,-2.6,0.5,1.4,51,Alabama
Franklin,"829,741","802,754","849,068","886,031",34,-3.3,5.8,4.4,13,Alabama
Geneva,"505,054","513,876","496,140","519,624",47,1.7,-3.5,4.7,9,Alabama
Greene,"255,456","245,437","225,323","235,854",65,-3.9,-8.2,4.7,10,Alabama
