CITY_NAME,CITY_STATE
Adams,Colorado
Alameda,California
Alamosa,Colorado
Aleutians East Borough,Alaska
Aleutians West Census Area,Alaska
Alpine,California
Amador,California
Anchorage Municipality,Alaska
Apache,Arizona
Arapahoe,Colorado
Archuleta,Colorado
Arkansas,Arkansas
Ashley,Arkansas
Autauga,Alabama
Baca,Colorado
Baldwin,Alabama
Barbour,Alabama
Baxter,Arkansas
Bent,Colorado
Benton,Arkansas
Bethel Census Area,Alaska
Bibb,Alabama
Blount,Alabama
Boone,Arkansas
Boulder,Colorado
Bradley,Arkansas
Bristol Bay Borough,Alaska
Broomfield,Colorado
Bullock,Alabama
Butler,Alabama
Butte,California
Calaveras,California
Calhoun,Alabama
Calhoun,Arkansas
Carroll,Arkansas
Chaffee,Colorado
Chambers,Alabama
Cherokee,Alabama
Cheyenne,Colorado
Chicot,Arkansas
Chilton,Alabama
Choctaw,Alabama
Clark,Arkansas
Clarke,Alabama
Clay,Alabama
Clay,Arkansas
Clear Creek,Colorado
Cleburne,Alabama
Cleburne,Arkansas
Cleveland,Arkansas
Cochise,Arizona
Coconino,Arizona
Coffee,Alabama
Colbert,Alabama
Columbia,Arkansas
Colusa,California
Conecuh,Alabama
Conejos,Colorado
Contra Costa,California
Conway,Arkansas
Coosa,Alabama
Costilla,Colorado
Covington,Alabama
Craighead,Arkansas
Crawford,Arkansas
Crenshaw,Alabama
Crittenden,Arkansas
Cross,Arkansas
Crowley,Colorado
Cullman,Alabama
Custer,Colorado
Dale,Alabama
Dallas,Alabama
Dallas,Arkansas
DeKalb,Alabama
Del Norte,California
Delta,Colorado
Denali Borough,Alaska
Denver,Colorado
Desha,Arkansas
Dillingham Census Area,Alaska
Dolores,Colorado
Douglas,Colorado
Drew,Arkansas
Eagle,Colorado
El Dorado,California
El Paso,Colorado
Elbert,Colorado
Elmore,Alabama
Escambia,Alabama
Etowah,Alabama
Fairbanks North Star Borough,Alaska
Faulkner,Arkansas
Fayette,Alabama
Franklin,Alabama
Franklin,Arkansas
Fremont,Colorado
Fresno,California
Fulton,Arkansas
Garfield,Colorado
Garland,Arkansas
Geneva,Alabama
Gila,Arizona
Gilpin,Colorado
Glenn,California
Graham,Arizona
Grand,Colorado
Grant,Arkansas
Greene,Alabama
Greene,Arkansas
Greenlee,Arizona
Gunnison,Colorado
Haines Borough,Alaska
Hale,Alabama
Hempstead,Arkansas
Henry,Alabama
Hinsdale,Colorado
Hoonah-Angoon Census Area,Alaska
Hot Spring,Arkansas
Houston,Alabama
Howard,Arkansas
Huerfano,Colorado
Humboldt,California
Imperial,California
Independence,Arkansas
Inyo,California
Izard,Arkansas
Jackson,Alabama
Jackson,Arkansas
Jackson,Colorado
Jefferson,Alabama
Jefferson,Arkansas
Jefferson,Colorado
Johnson,Arkansas
Juneau City and Borough,Alaska
Kenai Peninsula Borough,Alaska
Kern,California
Ketchikan Gateway Borough,Alaska
Kings,California
Kiowa,Colorado
Kit Carson,Colorado
Kodiak Island Borough,Alaska
Kusilvak Census Area,Alaska
La Paz,Arizona
La Plata,Colorado
Lafayette,Arkansas
Lake,California
Lake,Colorado
Lake and Peninsula Borough,Alaska
Lamar,Alabama
Larimer,Colorado
Las Animas,Colorado
Lassen,California
Lauderdale,Alabama
Lawrence,Alabama
Lawrence,Arkansas
Lee,Alabama
Lee,Arkansas
Limestone,Alabama
Lincoln,Arkansas
Lincoln,Colorado
Little River,Arkansas
